StatCode,MsCode,year,Estimate,SE,LowerCIB,UpperCIB,Flag
Q1,M001,2021,9311,449,8861,9760, 
Q2,M001,2021,23786,125,23661,23911, 
Q3,M001,2021,34190,172,34017,34362, 
Q4,M001,2021,46948,259,46689,47207, 
Q5,M001,2021,85931,1596,84335,87527, 
Q6,M001,2021,40040,488,39552,40528, 
Q1,M001,2020,8340,430,7909,8770, 
Q2,M001,2020,21961,112,21849,22073, 
Q3,M001,2020,31855,142,31713,31997, 
Q4,M001,2020,44726,208,44518,44933, 
Q5,M001,2020,83074,2067,81006,85141, 
Q6,M001,2020,37993,601,37392,38594, 
Q1,M003,2021,971,609,362,1580, 
Q2,M003,2021,1824,164,1660,1989, 
Q3,M003,2021,2334,234,2101,2568, 
Q4,M003,2021,2222,318,1904,2541, 
Q5,M003,2021,2857,2612,245,5469, 
Q6,M003,2021,2047,685,1362,2731, 
Q1,M002,2021,12692,440,12252,13132, 
Q2,M002,2021,23649,229,23420,23877, 
Q3,M002,2021,34177,248,33929,34425, 
Q4,M002,2021,46564,415,46148,46979, 
Q5,M002,2021,73707,1346,72361,75053, 
Q6,M002,2021,34191,393,33798,34584, 
Q1,M002,2020,11300,394,10906,11694, 
Q2,M002,2020,21799,152,21647,21950, 
Q3,M002,2020,31746,347,31399,32092, 
Q4,M002,2020,44464,310,44154,44775, 
Q5,M002,2020,69357,1116,68241,70473, 
Q6,M002,2020,31729,511,31217,32240, 
Q1,M004,2021,1392,591,801,1982, 
Q2,M004,2021,1850,274,1576,2124, 
Q3,M004,2021,2431,426,2005,2858, 
Q4,M004,2021,2100,519,1581,2618, 
Q5,M004,2021,4350,1748,2601,6098, 
Q6,M004,2021,2462,645,1818,3107, 
P1,M005,2021,12732,616,12116,13347, 
P2,M005,2021,19230,406,18824,19637, 
P3,M005,2021,23694,372,23322,24066, 
P4,M005,2021,28808,477,28331,29285, 
P5,M005,2021,34191,393,33798,34584, 
P6,M005,2021,39634,501,39133,40134, 
P7,M005,2021,46554,731,45823,47285, 
P8,M005,2021,56058,985,55074,57043, 
P9,M005,2021,73651,1894,71757,75545, 
P1,M005,2020,11335,450,10885,11785, 
P2,M005,2020,17817,364,17452,18181, 
P3,M005,2020,21808,285,21523,22094, 
P4,M005,2020,26609,412,26197,27021, 
P5,M005,2020,31729,511,31217,32240, 
P6,M005,2020,37569,511,37057,38080, 
P7,M005,2020,44411,605,43806,45016, 
P8,M005,2020,53793,1095,52698,54888, 
P9,M005,2020,69345,1302,68043,70646, 
P1,M006,2021,1397,75,1322,1472, 
P2,M006,2021,1414,36,1378,1450, 
P3,M006,2021,1885,55,1831,1940, 
P4,M006,2021,2199,65,2134,2265, 
P5,M006,2021,2462,90,2373,2552, 
P6,M006,2021,2065,84,1981,2148, 
P7,M006,2021,2143,112,2031,2255, 
P8,M006,2021,2265,158,2107,2424, 
P9,M006,2021,4306,207,4099,4514, 
Q1,M007,2021,4.6,0.3,4.3,4.9, 
Q2,M007,2021,11.9,0.5,11.4,12.4, 
Q3,M007,2021,17.1,0.8,16.3,17.9, 
Q4,M007,2021,23.5,1.2,22.4,24.7, 
Q5,M007,2021,42.8,1.3,41.5,44.2, 
Q1,M007,2020,4.4,0.3,4.1,4.7, 
Q2,M007,2020,11.6,0.5,11.2,12.1, 
Q3,M007,2020,16.8,0.8,16,17.6, 
Q4,M007,2020,23.5,1.2,22.4,24.7, 
Q5,M007,2020,43.7,1.5,42.2,45.2, 
Q1,M008,2021,0.3,0.4,-0.2,0.7, 
Q2,M008,2021,0.3,0.6,-0.3,0.9, 
Q3,M008,2021,0.3,1,-0.7,1.3, 
Q4,M008,2021,0,1.3,-1.3,1.4, 
Q5,M008,2021,-0.9,1.8,-2.6,0.9, 
R1,M009,2021,5.8,,,,NA
R2,M009,2021,2.9,,,,NA
R3,M009,2021,1.6,,,,NA
R4,M009,2021,0.6,,,,NA
R5,M009,2021,0.4,,,,NA
R1,M009,2020,6.1,,,,NA
R2,M009,2020,3,,,,NA
R3,M009,2020,1.7,,,,NA
R4,M009,2020,0.6,,,,NA
R5,M009,2020,0.4,,,,NA
G1,M010,2021,37,0.6,36.4,37.6, 
G1,M010,2020,38.1,0.7,37.3,38.8, 
G1,M011,2021,-1.1,0.9,-2,-0.2, 
M1,M012,2021,91,0.6,90.4,91.6, 
M1,M012,2020,90,0.6,89.4,90.6, 
M1,M013,2021,1,0.8,0.2,1.9, 
