MsCode,IncCode,Year,Estimate,SE,LowerCIB,UpperCIB,Flag
M001,I001A,2007,66458,1.8,65277,67640,
M001,I001A,2008,69765,1.8,68543,70987,
M001,I001A,2009,73203,2.2,71614,74792,
M001,I001A,2010,73545,2.1,72009,75080,
M001,I001A,2011,74191,1.8,72823,75559,
M001,I001A,2012,75580,1.5,74442,76718,
M001,I001A,2013,80936,2,79311,82561,
M001,I001A,2014,83859,1.8,82388,85329,
M001,I001A,2015,87688,1.8,86114,89261,
M001,I001A,2016,89867,1.4,88576,91158,
M001,I001A,2017,92819,1.7,91282,94356,
M001,I001A,2018,99246,1.9,97350,101142,
M001,I001A,2019,103991,1.6,102352,105631,
M001,I001A,2020,105701,1.3,104296,107105,
M001,I001A,2021,110451,1.1,109242,111661,
M001,I001B,2007,,,,,NA
M001,I001B,2008,5,2.4,2.5,7.4,
M001,I001B,2009,4.9,2.4,2.5,7.3,
M001,I001B,2010,0.5,2.7,-2.2,3.2,
M001,I001B,2011,0.9,2.7,-1.9,3.6,
M001,I001B,2012,1.9,2.4,-0.5,4.2,
M001,I001B,2013,7.1,2.8,4.3,9.9,
M001,I001B,2014,3.6,2.6,1,6.2,
M001,I001B,2015,4.6,2.7,1.8,7.3,
M001,I001B,2016,2.5,2.4,0.1,4.9,
M001,I001B,2017,3.3,2.4,0.9,5.7,
M001,I001B,2018,6.9,2.9,4,9.9,
M001,I001B,2019,4.8,3.3,1.5,8.1,
M001,I001B,2020,1.6,2,-0.3,3.6,
M001,I001B,2021,4.5,1.7,2.8,6.2,
M001,I002A,2007,51330,1.5,50564,52097,
M001,I002A,2008,54072,1.5,53284,54861,
M001,I002A,2009,57226,1.8,56204,58248,
M001,I002A,2010,58589,1.7,57571,59607,
M001,I002A,2011,60038,1.6,59090,60986,
M001,I002A,2012,62127,1.3,61328,62926,
M001,I002A,2013,66212,1.7,65058,67365,
M001,I002A,2014,68296,1.6,67233,69358,
M001,I002A,2015,71464,1.6,70302,72625,
M001,I002A,2016,72954,1.3,72025,73884,
M001,I002A,2017,75049,1.5,73955,76144,
M001,I002A,2018,79734,1.7,78413,81056,
M001,I002A,2019,83406,1.5,82136,84677,
M001,I002A,2020,84648,1.1,83682,85613,
M001,I002A,2021,88454,0.9,87622,89286,
M001,I002B,2007,,,,,NA
M001,I002B,2008,5.3,2.1,3.3,7.4,
M001,I002B,2009,5.8,2,3.8,7.9,
M001,I002B,2010,2.4,2.3,0.1,4.7,
M001,I002B,2011,2.5,2.3,0.1,4.8,
M001,I002B,2012,3.5,2,1.4,5.5,
M001,I002B,2013,6.6,2.4,4.2,9,
M001,I002B,2014,3.1,2.3,0.8,5.5,
M001,I002B,2015,4.6,2.5,2.2,7.1,
M001,I002B,2016,2.1,2.2,-0.1,4.2,
M001,I002B,2017,2.9,2.1,0.7,5,
M001,I002B,2018,6.2,2.5,3.7,8.8,
M001,I002B,2019,4.6,3,1.6,7.6,
M001,I002B,2020,1.5,1.8,-0.3,3.3,
M001,I002B,2021,4.5,1.4,3.1,5.9,
M001,I003A,2007,29925,1.5,29464,30386,
M001,I003A,2008,31609,1.6,31118,32100,
M001,I003A,2009,33371,1.9,32738,34003,
M001,I003A,2010,34109,1.8,33479,34739,
M001,I003A,2011,34788,1.6,34222,35354,
M001,I003A,2012,36091,1.4,35578,36603,
M001,I003A,2013,38270,1.7,37611,38929,
M001,I003A,2014,39395,1.5,38798,39991,
M001,I003A,2015,41142,1.7,40445,41838,
M001,I003A,2016,41739,1.3,41201,42276,
M001,I003A,2017,42221,1.4,41611,42831,
M001,I003A,2018,44772,1.6,44039,45506,
M001,I003A,2019,46016,1.4,45369,46663,
M001,I003A,2020,47727,1.1,47201,48254,
M001,I003A,2021,50164,1,49677,50651,
M001,I003B,2007,,,,,NA
M001,I003B,2008,5.6,2.2,3.5,7.8,
M001,I003B,2009,5.6,2.2,3.3,7.8,
M001,I003B,2010,2.2,2.5,-0.2,4.7,
M001,I003B,2011,2,2.6,-0.6,4.5,
M001,I003B,2012,3.7,2.2,1.6,5.9,
M001,I003B,2013,6,2.4,3.6,8.5,
M001,I003B,2014,2.9,2.3,0.6,5.2,
M001,I003B,2015,4.4,2.5,1.9,7,
M001,I003B,2016,1.5,2.2,-0.8,3.7,
M001,I003B,2017,1.2,2.1,-0.9,3.2,
M001,I003B,2018,6,2.5,3.6,8.5,
M001,I003B,2019,2.8,2.8,0,5.6,
M001,I003B,2020,3.7,1.8,2,5.5,
M001,I003B,2021,5.1,1.4,3.7,6.5,
M001,I004A,2007,22891,3.3,22146,23635,
M001,I004A,2008,24526,3.2,23752,25300,
M001,I004A,2009,25990,3.2,25167,26812,
M001,I004A,2010,26599,2.8,25847,27350,
M001,I004A,2011,27260,2.6,26542,27978,
M001,I004A,2012,28343,2.6,27616,29070,
M001,I004A,2013,30692,3.3,29674,31711,
M001,I004A,2014,30932,3.2,29947,31916,
M001,I004A,2015,32522,3.7,31329,33715,
M001,I004A,2016,32505,2.9,31575,33435,
M001,I004A,2017,33357,3.5,32176,34539,
M001,I004A,2018,34190,2.4,33353,35026,
M001,I004A,2019,36200,1.9,35520,36880,
M001,I004A,2020,37462,1.5,36892,38032,
M001,I004A,2021,39583,1.2,39093,40073,
M001,I004B,2007,,,,,NA
M001,I004B,2008,7.1,4.3,2.8,11.4,
M001,I004B,2009,6,5,1,11,
M001,I004B,2010,2.3,4.3,-2,6.6,
M001,I004B,2011,2.5,4,-1.5,6.5,
M001,I004B,2012,4,3.9,0.1,7.8,
M001,I004B,2013,8.3,4.7,3.6,13,
M001,I004B,2014,0.8,5.2,-4.4,6,
M001,I004B,2015,5.1,5.3,-0.1,10.4,
M001,I004B,2016,-0.1,4.6,-4.6,4.5,
M001,I004B,2017,2.6,4.3,-1.7,6.9,
M001,I004B,2018,2.5,4.1,-1.6,6.6,
M001,I004B,2019,5.9,3.6,2.3,9.5,
M001,I004B,2020,3.5,2.2,1.2,5.7,
M001,I004B,2021,5.7,1.8,3.8,7.5,
M002,I001A,2007,52887,1.8,51937,53837,
M002,I001A,2008,55444,2,54322,56566,
M002,I001A,2009,58453,1.8,57392,59514,
M002,I001A,2010,58066,2.2,56780,59352,
M002,I001A,2011,58546,1.9,57447,59645,
M002,I001A,2012,60521,2.2,59220,61822,
M002,I001A,2013,63808,1.8,62663,64953,
M002,I001A,2014,65768,2.1,64395,67142,
M002,I001A,2015,69048,1.7,67874,70222,
M002,I001A,2016,72292,1.6,71151,73433,
M002,I001A,2017,74039,1.5,72892,75185,
M002,I001A,2018,79361,1.6,78130,80593,
M002,I001A,2019,82536,1.2,81511,83562,
M002,I001A,2020,84539,1.6,83227,85851,
M002,I001A,2021,89127,1.4,87849,90405,
M002,I001B,2007,,,,,NA
M002,I001B,2008,4.8,2.8,2,7.7,
M002,I001B,2009,5.4,2.9,2.6,8.3,
M002,I001B,2010,-0.7,2.8,-3.5,2.2,
M002,I001B,2011,0.8,2.9,-2.1,3.8,
M002,I001B,2012,3.4,3,0.4,6.3,
