RegCode,MsCode,IncCode,Estimate,RSE,LowerCIB,UpperCIB
R001,M001,I001,85239,7.9,78519,91959
R001,M002,I001,66107,10.5,59146,73067
R001,M003,I001,1.4,10.6,-9.2,12
R001,M004,I001,-2.9,15.6,-18.4,12.7
R002,M001,I001,132426,3,128498,136355
R002,M002,I001,105225,2.7,102368,108082
R002,M003,I001,5,4.3,0.7,9.3
R002,M004,I001,3.2,4.8,-1.6,8
R003,M001,I001,95857,4.3,91746,99969
R003,M002,I001,79322,6.6,74066,84579
R003,M003,I001,3.2,6.1,-2.9,9.3
R003,M004,I001,5.8,9.9,-4.2,15.7
R004,M001,I001,97718,7.2,90639,104796
R004,M002,I001,79882,8.8,72835,86929
R004,M003,I001,4.7,8.3,-3.6,13
R004,M004,I001,5.9,12.1,-6.1,18
R005,M001,I001,96114,5.3,90980,101248
R005,M002,I001,84306,7.6,77876,90736
R005,M003,I001,7.9,9.8,-2,17.7
R005,M004,I001,20.1,15.8,4.3,35.9
R006,M001,I001,96140,8.1,88381,103900
R006,M002,I001,80000,12.2,70228,89772
R006,M003,I001,7.6,10.2,-2.5,17.8
R006,M004,I001,12.8,18.7,-5.9,31.5
R007,M001,I001,85761,5.8,80803,90719
R007,M002,I001,73350,7.9,67550,79151
R007,M003,I001,2,5.9,-3.9,7.9
R007,M004,I001,13.1,13.2,-0.1,26.3
R008,M001,I001,133849,4.9,127323,140375
R008,M002,I001,106782,5.9,100518,113046
R008,M003,I001,8.2,5.8,2.4,14
R008,M004,I001,6.2,8.1,-1.9,14.4
R009,M001,I001,91951,8.7,83916,99986
R009,M002,I001,77074,9.1,70041,84106
R009,M003,I001,4.8,11.5,-6.8,16.3
R009,M004,I001,11.8,16.3,-4.4,28.1
R010,M001,I001,100997,4,96917,105076
R010,M002,I001,87494,6.1,82143,92846
R010,M003,I001,1.7,5.8,-4.1,7.5
R010,M004,I001,2.9,9.9,-7,12.8
R011,M001,I001,91187,8.1,83842,98533
R011,M002,I001,74357,10.1,66858,81857
R011,M003,I001,1.6,9.6,-7.9,11.2
R011,M004,I001,11.2,14.8,-3.6,26
R012,M001,I001,91470,7.5,84576,98365
R012,M002,I001,77914,14.1,66928,88900
R012,M003,I001,1,10.1,-9,11.1
R012,M004,I001,0.1,19.1,-19,19.2
R013,M001,I001,110451,1.1,109242,111661
R013,M002,I001,89127,1.4,87849,90405
R013,M003,I001,4.5,1.7,2.8,6.2
R013,M004,I001,5.4,2.2,3.2,7.7
R001,M001,I002,70542,6.7,65801,75283
R001,M002,I002,58041,9.1,52756,63327
R001,M003,I002,1.1,9,-7.9,10.1
R001,M004,I002,-6.3,13.5,-19.7,7.2
R002,M001,I002,104562,2.6,101856,107267
R002,M002,I002,87182,2.6,84922,89442
R002,M003,I002,4.9,3.7,1.2,8.7
R002,M004,I002,2.9,4.2,-1.4,7.1
R003,M001,I002,78217,3.7,75339,81095
R003,M002,I002,67158,5.8,63289,71028
R003,M003,I002,3.2,5.3,-2.1,8.5
R003,M004,I002,5.4,8.4,-2.9,13.8
R004,M001,I002,79567,6.3,74568,84565
R004,M002,I002,68115,6.9,63407,72824
R004,M003,I002,4.4,7.3,-2.9,11.7
R004,M004,I002,3.4,8.9,-5.5,12.3
R005,M001,I002,78860,4.6,75271,82448
R005,M002,I002,69883,8.7,63792,75974
R005,M003,I002,7.5,8.4,-0.9,15.8
R005,M004,I002,14.8,14.8,0,29.5
