QuintCode,MsCode,Estimate,RSE,LowerCIB,UpperCIB,Flag
Q001,M001A,51.7,12,45.5,57.9, 
Q002,M001A,51.6,11.9,45.5,57.8, 
Q003,M001A,68.7,9.3,62.3,75, 
Q004,M001A,102.6,7.9,94.5,110.7, 
Q005,M001A,190.1,4.9,180.8,199.4, 
Q006,M001A,464.7,3.4,449.1,480.4, 
Q001,M001B,166.6,6.5,155.9,177.4, 
Q002,M001B,142.5,6.7,133,152, 
Q003,M001B,146.4,6.5,136.9,155.9, 
Q004,M001B,178.7,5.8,168.4,189, 
Q005,M001B,149.7,5.5,141.4,158, 
Q006,M001B,783.9,2.3,765.9,801.9, 
Q001,M001C,135.6,6.8,126.3,144.9, 
Q002,M001C,112.7,8,103.6,121.7, 
Q003,M001C,94.5,8.6,86.4,102.6, 
Q004,M001C,63.1,10,56.8,69.4, 
Q005,M001C,31.5,13.8,27.2,35.9, 
Q006,M001C,437.5,3.1,423.9,451, 
Q001,M001D,75.5,9.3,68.5,82.5, 
Q002,M001D,47.3,12.5,41.4,53.2, 
Q003,M001D,26.8,16.4,22.4,31.2, 
Q004,M001D,15.4,18.1,12.6,18.2, 
Q005,M001D,5.9,28.8,4.2,7.6, 
Q006,M001D,170.9,6.1,160.4,181.4, 
Q001,M002A,107.6,6.7,100.3,114.8, 
Q002,M002A,84.7,8.3,77.6,91.7, 
Q003,M002A,61.1,11.1,54.3,67.9, 
Q004,M002A,52.8,10.9,47,58.5, 
Q005,M002A,32.9,15.2,27.9,37.9, 
Q006,M002A,339,3.5,327.1,351, 
Q001,M002B,66.6,8.9,60.7,72.6, 
Q002,M002B,65.4,10.2,58.7,72.1, 
Q003,M002B,59.9,10.2,53.7,66, 
Q004,M002B,59.3,9.7,53.5,65, 
Q005,M002B,55.1,10.5,49.3,60.9, 
Q006,M002B,306.3,3.8,294.8,317.8, 
Q001,M002C,100.3,6.7,93.5,107, 
Q002,M002C,90.5,8.9,82.5,98.5, 
Q003,M002C,100,7.2,92.8,107.2, 
Q004,M002C,115.4,7.1,107.3,123.6, 
Q005,M002C,122.2,7.2,113.5,131, 
Q006,M002C,528.4,3,512.8,544.1, 
Q001,M002D,55.3,12.3,48.5,62.2, 
Q002,M002D,38.8,12.5,34,43.7, 
Q003,M002D,48.2,12,42.4,54, 
Q004,M002D,56.7,10.1,51,62.4, 
Q005,M002D,77,8.3,70.6,83.4, 
Q006,M002D,276.1,5.2,261.8,290.4, 
Q001,M002E,97,8.2,89.1,104.9, 
Q002,M002E,74.2,9.4,67.3,81.2, 
Q003,M002E,66.7,10.1,60,73.5, 
Q004,M002E,74.7,9.1,67.9,81.6, 
Q005,M002E,87.9,6.8,81.9,93.9, 
Q006,M002E,400.6,3.6,386.2,415.1, 
Q001,M002F,8.7,4,8.3,9, 
Q002,M002F,8,2.8,7.7,8.2, 
Q003,M002F,8.3,3.1,8,8.6, 
Q004,M002F,8.5,4.3,8.2,8.9, 
Q005,M002F,8.9,3.2,8.6,9.1, 
Q006,M002F,8.5,1.5,8.4,8.6, 
Q001,M003A,378.3,3.5,365,391.7, 
Q002,M003A,314.7,3.9,302.3,327.1, 
Q003,M003A,319,4.2,305.5,332.5, 
Q004,M003A,354.4,4.2,339.5,369.3, 
Q005,M003A,375.6,3,364.2,387, 
Q006,M003A,1742.1,0.5,1733.1,1751.1, 
Q001,M003B,52,12.6,45.5,58.6, 
Q002,M003B,39.7,12.4,34.8,44.7, 
Q003,M003B,17.7,22.5,13.7,21.7, 
Q004,M003B,5.6,30.7,3.9,7.3, 
Q005,M003B,1.7,59.2,0.7,2.7, 
Q006,M003B,116.9,7.4,108.3,125.5, 
Q001,M004A,3.7,30,2.6,4.8, 
Q002,M004A,6,34.2,3.9,8, 
Q003,M004A,3.7,34.3,2.4,4.9, 
Q004,M004A,2.2,47.2,1.2,3.2, 
Q005,M004A, , , , ,S
Q006,M004A,16,16.9,13.3,18.7, 
Q001,M004B,18.4,18.7,14.9,21.8, 
Q002,M004B,18.8,18.6,15.3,22.3, 
Q003,M004B,16.7,20.6,13.2,20.1, 
Q004,M004B,10,24.6,7.5,12.4, 
Q005,M004B,3.3,41.9,1.9,4.7, 
Q006,M004B,67.2,10,60.4,73.9, 
Q001,M004C,410.3,3.3,396.8,423.7, 
Q002,M004C,329.2,4.1,315.7,342.7, 
Q003,M004C,317.1,4.1,304.2,330, 
Q004,M004C,348.7,4,334.6,362.7, 
Q005,M004C,374.6,3,363.5,385.8, 
Q006,M004C,1779.8,0.4,1772.4,1787.2, 
Q001,M005A,326.4,3.8,314,338.8, 
Q002,M005A,271,4.3,259.3,282.7, 
Q003,M005A,262,4.7,249.7,274.2, 
Q004,M005A,291.4,5,276.8,306, 
Q005,M005A,320.9,3.7,309,332.9, 
Q006,M005A,1471.7,1.2,1454.5,1489, 
Q001,M005B,78,9.8,70.4,85.7, 
Q002,M005B,65.5,9.8,59.1,72, 
Q003,M005B,61.1,10.5,54.7,67.5, 
Q004,M005B,58.9,10.7,52.6,65.2, 
Q005,M005B,50.7,11.2,45,56.4, 
Q006,M005B,314.3,4.7,299.4,329.1, 
Q001,M005C,25.9,14.1,22.2,29.5, 
Q002,M005C,17.5,21.8,13.6,21.3, 
Q003,M005C,13,20.7,10.3,15.7, 
Q004,M005C,9.6,25.7,7.2,12.1, 
Q005,M005C,5.1,33.1,3.4,6.7, 
Q006,M005C,71,9.5,64.3,77.8, 
Q001,M006A,325,3.5,313.5,336.5, 
Q002,M006A,276,4.2,264.4,287.6, 
Q003,M006A,270.1,4.4,258.2,282, 
Q004,M006A,301.5,5,286.3,316.7, 
Q005,M006A,328.7,3.4,317.4,340, 
Q006,M006A,1501.3,1,1485.7,1516.8, 
Q001,M006B,61.5,11.4,54.5,68.5, 
Q002,M006B,49.4,12.1,43.4,55.4, 
Q003,M006B,43.8,12.3,38.5,49.2, 
Q004,M006B,41.1,11.6,36.4,45.9, 
Q005,M006B,36,13.5,31.1,40.8, 
Q006,M006B,231.9,5.1,220,243.7, 
Q001,M006C,40,11.9,35.2,44.7, 
Q002,M006C,26.8,16.8,22.3,31.3, 
Q003,M006C,18.9,18.1,15.5,22.3, 
Q004,M006C,14.5,20,11.6,17.4, 
Q005,M006C,9.5,26.5,7,12, 
Q006,M006C,109.7,7.1,101.9,117.5, 
