StatCode,MsCode,year,Estimate,SE,LowerCIB,UpperCIB,Flag
Q1,M001,2021,18631,324,18307,18955, 
Q2,M001,2021,32363,168,32194,32531, 
Q3,M001,2021,44027,161,43866,44189, 
Q4,M001,2021,58102,255,57848,58357, 
Q5,M001,2021,98748,1736,97012,100483, 
Q6,M001,2021,50390,495,49895,50885, 
Q1,M001,2020,17500,339,17161,17839, 
Q2,M001,2020,30225,137,30088,30362, 
Q3,M001,2020,41701,169,41531,41870, 
Q4,M001,2020,55696,267,55429,55962, 
Q5,M001,2020,95217,2197,93020,97415, 
Q6,M001,2020,48088,559,47529,48646, 
Q1,M003,2021,1131,403,727,1534, 
Q2,M003,2021,2138,217,1921,2355, 
Q3,M003,2021,2327,227,2100,2554, 
Q4,M003,2021,2407,360,2047,2767, 
Q5,M003,2021,3530,2815,715,6345, 
Q6,M003,2021,2302,685,1618,2987, 
Q1,M002,2021,21417,423,20994,21840, 
Q2,M002,2021,32297,220,32077,32516, 
Q3,M002,2021,43917,304,43613,44221, 
Q4,M002,2021,57532,359,57173,57892, 
Q5,M002,2021,84650,1446,83204,86095, 
Q6,M002,2021,43903,519,43384,44421, 
Q1,M002,2020,19928,489,19439,20416, 
Q2,M002,2020,30209,303,29906,30512, 
Q3,M002,2020,41609,332,41277,41941, 
Q4,M002,2020,55406,404,55002,55809, 
Q5,M002,2020,81026,1079,79947,82105, 
Q6,M002,2020,41595,537,41057,42132, 
Q1,M004,2021,1489,646,843,2136, 
Q2,M004,2021,2088,374,1714,2462, 
Q3,M004,2021,2308,450,1858,2758, 
Q4,M004,2021,2127,540,1586,2667, 
Q5,M004,2021,3623,1804,1820,5427, 
Q6,M004,2021,2308,747,1561,3055, 
P1,M005,2021,21459,577,20882,22035, 
P2,M005,2021,26630,368,26262,26998, 
P3,M005,2021,32291,421,31870,32712, 
P4,M005,2021,38267,434,37833,38700, 
P5,M005,2021,43903,519,43384,44421, 
P6,M005,2021,50127,542,49585,50669, 
P7,M005,2021,57565,682,56884,58247, 
P8,M005,2021,67936,1000,66936,68936, 
P9,M005,2021,84671,1798,82873,86469, 
P1,M005,2020,20002,600,19402,20602, 
P2,M005,2020,24833,353,24480,25187, 
P3,M005,2020,30211,498,29713,30709, 
P4,M005,2020,35752,535,35218,36287, 
P5,M005,2020,41595,537,41057,42132, 
P6,M005,2020,47743,536,47207,48279, 
P7,M005,2020,55429,609,54820,56038, 
P8,M005,2020,65531,843,64687,66374, 
P9,M005,2020,81026,1245,79781,82272, 
P1,M006,2021,1457,95,1362,1551, 
P2,M006,2021,1796,50,1747,1846, 
P3,M006,2021,2080,57,2022,2137, 
P4,M006,2021,2514,33,2482,2547, 
P5,M006,2021,2308,74,2234,2382, 
P6,M006,2021,2384,88,2296,2472, 
P7,M006,2021,2136,109,2027,2245, 
P8,M006,2021,2405,157,2248,2562, 
P9,M006,2021,3645,295,3350,3940, 
Q1,M007,2021,7.4,0.3,7,7.7, 
Q2,M007,2021,13,0.5,12.4,13.5, 
Q3,M007,2021,17.3,0.8,16.5,18.2, 
Q4,M007,2021,23.1,1.1,22,24.1, 
Q5,M007,2021,39.3,1.1,38.1,40.4, 
Q1,M007,2020,7.2,0.3,6.9,7.6, 
Q2,M007,2020,12.7,0.6,12.2,13.3, 
Q3,M007,2020,17.2,0.9,16.3,18, 
Q4,M007,2020,23.2,1,22.2,24.2, 
Q5,M007,2020,39.6,1.3,38.4,40.9, 
Q1,M008,2021,0.1,0.4,-0.2,0.5, 
Q2,M008,2021,0.2,0.7,-0.5,0.9, 
Q3,M008,2021,0.2,1.2,-1,1.4, 
Q4,M008,2021,-0.2,1.4,-1.5,1.2, 
Q5,M008,2021,-0.4,1.6,-2,1.2, 
R1,M009,2021,3.9,,,,NA
R2,M009,2021,2.6,,,,NA
R3,M009,2021,1.5,,,,NA
R4,M009,2021,0.6,,,,NA
R5,M009,2021,0.5,,,,NA
R1,M009,2020,4.1,,,,NA
R2,M009,2020,2.6,,,,NA
R3,M009,2020,1.6,,,,NA
R4,M009,2020,0.6,,,,NA
R5,M009,2020,0.5,,,,NA
G1,M010,2021,31.7,0.5,31.1,32.2, 
G1,M010,2020,32.3,0.7,31.7,33, 
G1,M011,2021,-0.7,0.8,-1.5,0.1, 
M1,M012,2021,91,0.6,90.4,91.6, 
M1,M012,2020,90,0.6,89.4,90.6, 
M1,M013,2021,1,0.8,0.2,1.9, 
