MsCode,EstCode,Year,Estimate,SE,LowerCIB,UpperCIB,Flag
MEASA,A_Proprtion,2020,11,0.7,10.4,11.7,
MEASB,A_Proprtion,2020,14.8,0.7,14.1,15.5,
MEASC,A_Proprtion,2020,7.6,0.6,7,8.2,
MEASE,A_Proprtion,2020,20.2,0.8,19.4,21,
MEASF,A_Proprtion,2020,22.8,0.8,22,23.6,
MEASG,A_Proprtion,2020,16.2,0.7,15.5,16.9,
MEASH,A_Proprtion,2020,11.6,0.6,11,12.3,
MEASI,A_Proprtion,2020,3,0.4,2.6,3.4,
MEASJ,A_Proprtion,2020,4.1,0.4,3.7,4.5,
MEASA,A_Proprtion,2021,10.6,0.6,10,11.2,
MEASA,B_Number,2021,529.1,30.1,499.1,559.2,
MEASA,C_Population,2021,5013.9, , , ,NA
MEASA,D_Proportion_diff,2021,-0.5,0.8,-1.2,0.3,
MEASB,A_Proprtion,2021,13.4,0.7,12.7,14,
MEASB,B_Number,2021,670.1,34.3,635.8,704.3,
MEASB,C_Population,2021,5013.9, , , ,NA
MEASB,D_Proportion_diff,2021,-1.4,0.8,-2.3,-0.6,
MEASC,A_Proprtion,2021,7.1,0.5,6.6,7.6,
MEASC,B_Number,2021,355.8,25.5,330.3,381.3,
MEASC,C_Population,2021,5003.9,4.4,4999.5,5008.2,
MEASC,D_Proportion_diff,2021,-0.5,0.7,-1.3,0.2,
MEASE,A_Proprtion,2021,19.5,0.7,18.7,20.2,
MEASE,B_Number,2021,976.1,36.1,940,1012.2,
MEASE,C_Population,2021,5013.9, , , ,NA
MEASE,D_Proportion_diff,2021,-0.8,0.9,-1.7,0.1,
MEASF,A_Proprtion,2021,22.9,0.7,22.1,23.6,
MEASF,B_Number,2021,1147.6,37.2,1110.4,1184.7,
MEASF,C_Population,2021,5013.9, , , ,NA
MEASF,D_Proportion_diff,2021,0.1,1,-0.9,1.1,
MEASG,A_Proprtion,2021,16.5,0.7,15.8,17.1,
MEASG,B_Number,2021,825,34.3,790.7,859.3,
MEASG,C_Population,2021,5013.9, , , ,NA
MEASG,D_Proportion_diff,2021,0.3,0.9,-0.6,1.2,
MEASH,A_Proprtion,2021,11.2,0.7,10.5,11.9,
MEASH,B_Number,2021,562.1,33.2,528.9,595.4,
MEASH,C_Population,2021,5013.9, , , ,NA
MEASH,D_Proportion_diff,2021,-0.4,0.8,-1.2,0.4,
MEASI,A_Proprtion,2021,2.8,0.4,2.4,3.2,
MEASI,B_Number,2021,139.5,18.8,120.7,158.3,
MEASI,C_Population,2021,5003.9,4.4,4999.5,5008.2,
MEASI,D_Proportion_diff,2021,-0.2,0.5,-0.8,0.3,
MEASJ,A_Proprtion,2021,3.7,0.4,3.3,4,
MEASJ,B_Number,2021,184.8,17.6,167.2,202.5,
MEASJ,C_Population,2021,5003.9,4.4,4999.5,5008.2,
MEASJ,D_Proportion_diff,2021,-0.4,0.5,-0.9,0.1,
