QuintCode,HdCode,Estimate,RSE,LowerCIB,UpperCIB,Flag
Q001,H001A,999.2,3.5,963.8,1034.5, 
Q002,H001A,1012,3.8,974,1049.9, 
Q003,H001A,995.2,4.4,951.5,1038.8, 
Q004,H001A,1003.2,4.6,957.5,1048.9, 
Q005,H001A,1004.4,3.5,969,1039.8, 
Q006,H001A,5013.9, , , ,NA
Q007,H001A,43903,1.2,43384,44421, 
Q008,H001A,50390,1,49895,50885, 
Q001,H002A,173,5,164.4,181.6, 
Q002,H002A,71.7,8.5,65.6,77.8, 
Q003,H002A,55.4,10.9,49.3,61.5, 
Q004,H002A,53.1,9.9,47.8,58.3, 
Q005,H002A,50.4,9.5,45.6,55.1, 
Q006,H002A,403.6,1.9,395.9,411.3, 
Q007,H002A,29915,3.7,28799,31032, 
Q008,H002A,40595,2.9,39432,41757, 
Q001,H002B,235.9,5.8,222.1,249.7, 
Q002,H002B,213.4,7.2,198.1,228.7, 
Q003,H002B,194.5,6.6,181.7,207.3, 
Q004,H002B,259.2,6.1,243.4,275, 
Q005,H002B,319.9,5.1,303.7,336, 
Q006,H002B,1222.9,1.4,1206.3,1239.4, 
Q007,H002B,48069,2.5,46888,49250, 
Q008,H002B,55769,2,54670,56867, 
Q001,H002C,158.7,10.9,141.4,175.9, 
Q002,H002C,190.4,11.4,168.7,212.1, 
Q003,H002C,205.1,10.1,184.4,225.9, 
Q004,H002C,229.2,9.6,207.2,251.2, 
Q005,H002C,226.6,10.2,203.5,249.8, 
Q006,H002C,1010.1,3.8,971.5,1048.7, 
Q007,H002C,46825,2.5,45675,47974, 
Q008,H002C,53193,2.9,51625,54760, 
Q001,H002D,168.8,11.6,149.2,188.4, 
Q002,H002D,234.4,10,210.9,257.9, 
Q003,H002D,279.5,9.2,253.8,305.3, 
Q004,H002D,264.2,9.9,237.9,290.5, 
Q005,H002D,261.3,8.9,238.1,284.6, 
Q006,H002D,1208.3,3.7,1164.1,1252.5, 
Q007,H002D,47018,2.1,46025,48010, 
Q008,H002D,52728,2.6,51344,54112, 
Q001,H002E,262.7,8.6,240.1,285.3, 
Q002,H002E,302,8.9,275.2,328.8, 
Q003,H002E,260.6,10.2,234.1,287.1, 
Q004,H002E,197.5,13,171.7,223.3, 
Q005,H002E,146.2,15.8,123.2,169.3, 
Q006,H002E,1169,3.6,1126.5,1211.5, 
Q007,H002E,39170,3.1,37973,40367, 
Q008,H002E,43307,2.9,42061,44552, 
Q001,H003A,185.6,6.8,173.1,198.1, 
Q002,H003A,154.7,8.5,141.5,167.9, 
Q003,H003A,137.4,8.5,125.6,149.1, 
Q004,H003A,211.8,7,197,226.7, 
Q005,H003A,297.7,5.2,282.2,313.3, 
Q006,H003A,987.2,1.8,969.5,1005, 
Q007,H003A,51614,2.7,50233,52995, 
Q008,H003A,58644,2.2,57371,59918, 
Q001,H003B,50,18.4,40.8,59.2, 
Q002,H003B,64.7,16.9,53.8,75.6, 
Q003,H003B,76.7,14.9,65.3,88.2, 
Q004,H003B,91.1,13.8,78.5,103.7, 
Q005,H003B,88.7,14.1,76.2,101.2, 
Q006,H003B,371.2,6.1,348.5,393.9, 
