MsCode,IncCode,Year,Estimate,RSE,LowerCIB,UpperCIB,Flag
M001,V001,2019,68861,1.5,67857,69865,
M001,V002,2019,15340,8.7,13999,16680,
M001,V003,2019,3841,11.4,3401,4280,
M001,V004,2019,7150,1.2,7067,7232,
M001,V005,2019,4697,2.3,4590,4804,
M001,V006,2019,4104,6.9,3822,4386,
M001,V007,2019,103991,1.6,102352,105631,
M001,V008,2019,21940,2,21506,22375,
M001,V009,2019,83406,1.5,82136,84677,
M001,V010,2019,3269,16.3,2736,3803,
M002,V001,2019,52948,2.6,51549,54348,
M002,V002,2019,0, ,-617,617,NA
M002,V003,2019,0, ,-432,432,NA
M002,V004,2019,0, ,0,0,NA
M002,V005,2019,6,312.8,-13,25,
M002,V006,2019,0, ,-7777,7777,NA
M002,V007,2019,82536,1.2,81518,83554,
M002,V008,2019,14423,1.9,14156,14690,
M002,V009,2019,70197,1.1,69424,70970,
M002,V010,2019,0, ,0,0,NA
M003,V001,2019, , , , ,NA
M003,V002,2019, , , , ,NA
M003,V003,2019, , , , ,NA
M003,V004,2019, , , , ,NA
M003,V005,2019, , , , ,NA
M003,V006,2019, , , , ,NA
M003,V007,2019, , , , ,NA
M003,V008,2019, , , , ,NA
M003,V009,2019, , , , ,NA
M003,V010,2019, , , , ,NA
M004,V001,2019, , , , ,NA
M004,V002,2019, , , , ,NA
M004,V003,2019, , , , ,NA
M004,V004,2019, , , , ,NA
M004,V005,2019, , , , ,NA
M004,V006,2019, , , , ,NA
M004,V007,2019, , , , ,NA
M004,V008,2019, , , , ,NA
M004,V009,2019, , , , ,NA
M004,V010,2019, , , , ,NA
M001,V001,2020,71072,1.6,69928,72216,
M001,V002,2020,16794,7,15614,17973,
M001,V003,2020,3404,6.8,3171,3636,
M001,V004,2020,7416,1,7338,7494,
M001,V005,2020,4812,2.8,4678,4945,
M001,V006,2020,2204,7.2,2046,2362,
M001,V007,2020,105701,1.3,104296,107105,
M001,V008,2020,22456,2,22009,22902,
M001,V009,2020,84648,1.1,83682,85613,
M001,V010,2020,1532,18.3,1251,1813,
M002,V001,2020,55216,2.6,53771,56661,
M002,V002,2020,0, ,-1234,1234,NA
M002,V003,2020,0, ,-839,839,NA
M002,V004,2020,0, ,0,0,NA
M002,V005,2020,0, ,0,0,NA
M002,V006,2020,0, ,-518,518,NA
M002,V007,2020,84539,1.6,83227,85851,
M002,V008,2020,14857,2.2,14528,15185,
M002,V009,2020,71494,1.4,70501,72487,
M002,V010,2020,0, ,0,0,NA
M003,V001,2020,3.2,2.2,1,5.4,
M003,V002,2020,9.5,11.7,-2.2,21.1,
M003,V003,2020,-11.4,11.7,-23.1,0.3,
M003,V004,2020,3.7,1.6,2.2,5.3,
M003,V005,2020,2.4,3.5,-1,5.9,
M003,V006,2020,-46.3,5.2,-51.5,-41.1,
M003,V007,2020,1.6,2,-0.3,3.6,
M003,V008,2020,2.3,2.6,-0.3,5,
M003,V009,2020,1.5,1.8,-0.3,3.3,
M003,V010,2020,-53.1,11.9,-65,-41.2,
M004,V001,2020,4.3,3.9,0.4,8.2,
M004,V002,2020, , , , ,NA
M004,V003,2020, , , , ,NA
M004,V004,2020, , , , ,NA
M004,V005,2020,-100, , , ,NA
M004,V006,2020, , , , ,NA
M004,V007,2020,2.4,2,0.4,4.5,
M004,V008,2020,3,3,0,6,
M004,V009,2020,1.8,1.8,0,3.7,
M004,V010,2020, , , , ,NA
M001,V001,2021,72010,1.5,70907,73114,
M001,V002,2021,16581,5.5,15667,17494,
M001,V003,2021,3783,6.2,3548,4017,
M001,V004,2021,8059,1.2,7962,8156,
M001,V005,2021,6073,2.3,5934,6211,
M001,V006,2021,3952,7.7,3646,4258,
M001,V007,2021,110451,1.1,109242,111661,
M001,V008,2021,23326,1.7,22940,23712,
M001,V009,2021,88454,0.9,87622,89286,
M001,V010,2021,1135,12.5,992,1277,
M002,V001,2021,54951,2.4,53639,56262,
M002,V002,2021,0, ,-832,832,NA
M002,V003,2021,0, ,-956,956,NA
M002,V004,2021,0, ,0,0,NA
M002,V005,2021,859,7.4,796,923,
M002,V006,2021,0, ,0,0,NA
M002,V007,2021,89127,1.4,87849,90405,
M002,V008,2021,15650,1.9,15346,15955,
M002,V009,2021,74563,1.3,73627,75500,
M002,V010,2021,0, ,0,0,NA
M003,V001,2021,1.3,1.9,-0.6,3.3,
M003,V002,2021,-1.3,8.1,-9.3,6.8,
M003,V003,2021,11.1,11,0.1,22.1,
M003,V004,2021,8.7,1.8,6.9,10.4,
M003,V005,2021,26.2,4.4,21.9,30.6,
M003,V006,2021,79.3,19.4,59.9,98.7,
M003,V007,2021,4.5,1.7,2.8,6.2,
M003,V008,2021,3.9,2.5,1.4,6.4,
M003,V009,2021,4.5,1.4,3.1,5.9,
M003,V010,2021,-25.9,16,-41.9,-9.9,
M004,V001,2021,-0.5,3.5,-4,3,
M004,V002,2021, , , , ,NA
M004,V003,2021, , , , ,NA
M004,V004,2021, , , , ,NA
M004,V005,2021, , , , ,NA
M004,V006,2021, , , , ,NA
M004,V007,2021,5.4,2.2,3.2,7.7,
M004,V008,2021,5.3,3.1,2.2,8.4,
M004,V009,2021,4.3,2,2.3,6.2,
M004,V010,2021, , , , ,NA
