QuintCode,PdCode,Estimate,RSE,LowerCIB,UpperCIB,Flag
Q001,P001A,999.2,3.5,963.8,1034.5, 
Q002,P001A,1012,3.8,974,1049.9, 
Q003,P001A,995.2,4.4,951.5,1038.8, 
Q004,P001A,1003.2,4.6,957.5,1048.9, 
Q005,P001A,1004.4,3.5,969,1039.8, 
Q006,P001A,5013.9, , , ,NA
Q007,P001A,43903,1.2,43384,44421, 
Q008,P001A,50390,1,49895,50885, 
Q001,P002A,470.6,4.5,449.5,491.7, 
Q002,P002A,488.7,4.6,466.2,511.2, 
Q003,P002A,497.6,5.2,471.7,523.6, 
Q004,P002A,514,4.6,490.6,537.5, 
Q005,P002A,514.5,3.9,494.5,534.5, 
Q006,P002A,2485.4,0.6,2471.4,2499.5, 
Q007,P002A,44737,1.3,44134,45339, 
Q008,P002A,51133,1.2,50496,51770, 
Q001,P002B,525.5,3.4,507.4,543.6, 
Q002,P002B,522.2,3.7,502.8,541.6, 
Q003,P002B,494.9,4.3,473.6,516.2, 
Q004,P002B,487.6,5.3,461.8,513.4, 
Q005,P002B,488.3,3.7,470.4,506.3, 
Q006,P002B,2518.5,0.6,2504.7,2532.4, 
Q007,P002B,43056,1.1,42563,43548, 
Q008,P002B,49679,1,49206,50152, 
Q001,P002C,3.1,52.5,1.5,4.7, 
Q002,P002C,1.1,82.1,0.2,1.9, 
Q003,P002C,2.6,66.7,0.9,4.3, 
Q004,P002C,1.6,57.2,0.7,2.5, 
Q005,P002C,1.6,56.3,0.7,2.4, 
Q006,P002C,9.9,27.5,7.2,12.6, 
Q007,P002C,45429,21.1,35854,55005, 
Q008,P002C,44678,18.8,36287,53069, 
Q001,P003A,210.7,6.2,197.7,223.6, 
Q002,P003A,255.3,4.7,243.4,267.2, 
Q003,P003A,213.8,5.8,201.5,226.1, 
Q004,P003A,150.5,8.7,137.4,163.6, 
Q005,P003A,133.7,9.3,121.3,146.1, 
Q006,P003A,964, , , ,NA
Q007,P003A,39015,1.8,38314,39716, 
Q008,P003A,45169,2.3,44119,46218, 
Q001,P003B,74.9,11.3,66.5,83.4, 
Q002,P003B,67.4,10.5,60.3,74.5, 
Q003,P003B,61,11.4,54.1,67.9, 
Q004,P003B,59.2,12.9,51.6,66.8, 
Q005,P003B,41.1,12.5,36,46.2, 
Q006,P003B,303.6, , , ,NA
Q007,P003B,40133,4.1,38473,41793, 
Q008,P003B,44641,3.5,43070,46212, 
Q001,P003C,67.7,15,57.6,77.9, 
Q002,P003C,65.5,13.4,56.7,74.3, 
Q003,P003C,73.4,11.1,65.2,81.5, 
Q004,P003C,74.1,11,65.9,82.2, 
Q005,P003C,48.5,13.8,41.8,55.2, 
Q006,P003C,329.1, , , ,NA
Q007,P003C,42430,4.1,40671,44188, 
Q008,P003C,46470,3.6,44813,48126, 
Q001,P003D,39.6,15,33.6,45.5, 
Q002,P003D,60.6,11.8,53.5,67.8, 
Q003,P003D,72.7,11.7,64.2,81.3, 
Q004,P003D,101.2,9.5,91.6,110.8, 
Q005,P003D,97.6,11.5,86.4,108.9, 
Q006,P003D,371.8, , , ,NA
Q007,P003D,52160,3.8,50160,54161, 
Q008,P003D,55394,2.6,53978,56810, 
Q001,P003E,50.8,13,44.2,57.4, 
Q002,P003E,72.5,8.7,66.2,78.8, 
Q003,P003E,77.3,10.2,69.4,85.1, 
Q004,P003E,85.5,15.2,72.5,98.4, 
Q005,P003E,88.9,10.7,79.4,98.4, 
Q006,P003E,375, , , ,NA
Q007,P003E,48448,2.6,47171,49724, 
Q008,P003E,52956,2.3,51721,54190, 
Q001,P003F,44,13.7,38,50, 
Q002,P003F,64.6,11.1,57.4,71.7, 
Q003,P003F,74.8,10,67.3,82.3, 
Q004,P003F,79.6,9.8,71.8,87.4, 
Q005,P003F,71.7,10.5,64.1,79.2, 
Q006,P003F,334.6, , , ,NA
Q007,P003F,47354,2.9,45987,48721, 
Q008,P003F,53448,3.1,51815,55081, 
Q001,P003G,46.5,12.2,40.9,52.2, 
Q002,P003G,57.5,10.5,51.5,63.5, 
Q003,P003G,68.8,8.7,62.8,74.8, 
Q004,P003G,65.4,9.8,58.9,71.8, 
Q005,P003G,69.6,10.1,62.6,76.6, 
Q006,P003G,307.8, , , ,NA
Q007,P003G,46317,3.1,44894,47740, 
Q008,P003G,53672,3.7,51695,55650, 
Q001,P003H,47.2,13.8,40.7,53.7, 
Q002,P003H,53.4,12.5,46.7,60.1, 
Q003,P003H,67.1,9,61,73.2, 
Q004,P003H,73.5,10.3,65.9,81, 
Q005,P003H,83.1,9.1,75.6,90.7, 
Q006,P003H,324.3, , , ,NA
Q007,P003H,49201,2.9,47763,50640, 
Q008,P003H,56367,3.3,54485,58249, 
Q001,P003I,53.5,11.7,47.2,59.8, 
Q002,P003I,47.7,10.7,42.6,52.8, 
Q003,P003I,57.1,12.8,49.8,64.4, 
Q004,P003I,71.5,10,64.4,78.7, 
Q005,P003I,95.3,8.7,87,103.6, 
Q006,P003I,325.2, , , ,NA
Q007,P003I,50901,3.8,48952,52851, 
Q008,P003I,58060,3.5,56006,60114, 
Q001,P003J,46.3,10.9,41.2,51.3, 
Q002,P003J,47.3,12.8,41.2,53.4, 
Q003,P003J,56.7,11.2,50.3,63, 
Q004,P003J,71.7,10,64.5,78.8, 
Q005,P003J,99.9,7.8,92.1,107.8, 
Q006,P003J,321.9, , , ,NA
Q007,P003J,52736,3.9,50692,54780, 
Q008,P003J,60316,3,58502,62129, 
Q001,P003K,62.9,9.3,57.1,68.8, 
Q002,P003K,39.5,13.7,34.1,44.9, 
Q003,P003K,47.8,11.4,42.4,53.2, 
Q004,P003K,68.2,9.6,61.6,74.8, 
Q005,P003K,72.2,9,65.7,78.7, 
Q006,P003K,290.7, , , ,NA
Q007,P003K,49063,3.5,47328,50798, 
Q008,P003K,54876,3.5,52969,56783, 
Q001,P003L,255.1,4.9,242.7,267.4, 
Q002,P003L,180.6,7.4,167.2,194.1, 
Q003,P003L,124.7,8.1,114.6,134.8, 
Q004,P003L,103,9.7,93,113, 
Q005,P003L,102.6,9.5,92.9,112.4, 
Q006,P003L,766, , , ,NA
Q007,P003L,33772,3.2,32696,34847, 
Q008,P003L,42925,2.5,41840,44009, 
Q001,P004A,620.3,4.8,590.8,649.8, 
Q002,P004A,650.1,5.1,616.7,683.6, 
Q003,P004A,670.7,5.6,632.8,708.6, 
Q004,P004A,701.8,5.5,663.5,740.1, 
Q005,P004A,785.1,4.1,752.9,817.3, 
Q006,P004A,3428,1.4,3378.7,3477.3, 
Q007,P004A,45902,1.5,45214,46589, 
Q008,P004A,53338,1.2,52722,53954, 
Q001,P004B,210.4,7.8,193.9,226.8, 
Q002,P004B,210.6,7.1,195.6,225.6, 
