MsCode,ExpCode,Year,Estimate,RSE,LowerCIB,UpperCIB,Flag
M001,E001,2007,64.6,8,59.4,69.7,
M001,E002,2007,1,21.8,0.8,1.2,
M001,E003,2007,65.6,7.9,60.3,70.8,
M001,E004,2007,29,13.6,25.1,33,
M001,E005,2007,76,11.5,67.3,84.7,
M001,E006,2007,0.9,67.2,0.3,1.5,
M001,E007,2007,105.9,10,95.3,116.4,
M001,E008,2007,23.4,5.6,22.1,24.7,
M001,E009,2007,9.1,7.4,8.4,9.8,
M001,E010,2007,0.5,50.8,0.2,0.7,
M001,E011,2007,204.4,4.8,194.6,214.2,
M002,E001,2007,29.5, , , ,
M002,E002,2007,9, , , ,
M002,E003,2007,30.8, , , ,
M002,E004,2007,25.4, , , ,
M002,E005,2007,33, , , ,
M002,E006,2007,5.8, , , ,
M002,E007,2007,33.1, , , ,
M002,E008,2007,70.1, , , ,
M002,E009,2007,62.6, , , ,
M002,E010,2007,1.9, , , ,
M002,E011,2007,97.4, , , ,
M003,E001,2007,31.6, , , ,
M003,E002,2007,0.5, , , ,
M003,E003,2007,32.1, , , ,
M003,E004,2007,14.2, , , ,
M003,E005,2007,37.2, , , ,
M003,E006,2007,0.4, , , ,
M003,E007,2007,51.8, , , ,
M003,E008,2007,11.4, , , ,
M003,E009,2007,4.5, , , ,
M003,E010,2007,0.2, , , ,
M003,E011,2007,100, , , ,
M004,E001,2007, , , , ,NA
M004,E002,2007, , , , ,NA
M004,E003,2007, , , , ,NA
M004,E004,2007, , , , ,NA
M004,E005,2007, , , , ,NA
M004,E006,2007, , , , ,NA
M004,E007,2007, , , , ,NA
M004,E008,2007, , , , ,NA
M004,E009,2007, , , , ,NA
M004,E010,2007, , , , ,NA
M004,E011,2007, , , , ,NA
M001,E001,2008,73,7.7,67.3,78.6,
M001,E002,2008,1.9,27.7,1.4,2.5,
M001,E003,2008,74.9,7.6,69.2,80.6,
M001,E004,2008,31.6,10.8,28.2,35,
M001,E005,2008,89.5,9.1,81.3,97.6,
M001,E006,2008,0.3,45.6,0.2,0.4,
M001,E007,2008,121.3,8.2,111.4,131.3,
M001,E008,2008,23.7,4.9,22.5,24.8,
M001,E009,2008,9.1,6,8.6,9.7,
M001,E010,2008,0.5,53.8,0.2,0.7,
M001,E011,2008,229.5,4,220.4,238.7,
M002,E001,2008,31.5, , , ,
M002,E002,2008,11.1, , , ,
M002,E003,2008,33.2, , , ,
M002,E004,2008,26.3, , , ,
M002,E005,2008,31.5, , , ,
M002,E006,2008,4.1, , , ,
M002,E007,2008,31.6, , , ,
M002,E008,2008,69.3, , , ,
M002,E009,2008,62.2, , , ,
M002,E010,2008,1.9, , , ,
M002,E011,2008,97.6, , , ,
M003,E001,2008,31.8, , , ,
M003,E002,2008,0.8, , , ,
M003,E003,2008,32.6, , , ,
M003,E004,2008,13.7, , , ,
M003,E005,2008,39, , , ,
M003,E006,2008,0.1, , , ,
M003,E007,2008,52.9, , , ,
M003,E008,2008,10.3, , , ,
M003,E009,2008,4, , , ,
M003,E010,2008,0.2, , , ,
M003,E011,2008,100, , , ,
M004,E001,2008,13,12.4,0.6,25.5,
M004,E002,2008,95.9,64.7,31.2,160.7,
M004,E003,2008,14.3,12.5,1.7,26.8,
M004,E004,2008,8.7,17.9,-9.1,26.6,
M004,E005,2008,17.7,16.8,1,34.5,
M004,E006,2008,-64.8,33.4,-98.2,-31.3,
M004,E007,2008,14.6,13.9,0.7,28.5,
M004,E008,2008,1.2,7.3,-6.1,8.5,
M004,E009,2008,0.4,8.4,-8,8.9,
M004,E010,2008,-5.1,71.9,-77,66.9,
M004,E011,2008,12.3,6.6,5.6,18.9,
M001,E001,2009,78.3,6.4,73.3,83.3,
M001,E002,2009,1.4,23.4,1,1.7,
M001,E003,2009,79.6,6.3,74.6,84.7,
M001,E004,2009,33.7,19.6,27.1,40.3,
M001,E005,2009,83.1,10.3,74.5,91.6,
M001,E006,2009,0.2,44.6,0.1,0.3,
M001,E007,2009,117,11.3,103.7,130.2,
M001,E008,2009,25,5.3,23.7,26.4,
M001,E009,2009,8.9,6.7,8.3,9.5,
M001,E010,2009,0.6,58.6,0.2,0.9,
M001,E011,2009,231.1,5.8,217.7,244.6,
M002,E001,2009,31.3, , , ,
M002,E002,2009,10.4, , , ,
M002,E003,2009,32.6, , , ,
M002,E004,2009,26.7, , , ,
M002,E005,2009,31, , , ,
M002,E006,2009,3.3, , , ,
M002,E007,2009,31.1, , , ,
M002,E008,2009,69.7, , , ,
M002,E009,2009,62.2, , , ,
M002,E010,2009,1.5, , , ,
M002,E011,2009,97.1, , , ,
M003,E001,2009,33.9, , , ,
M003,E002,2009,0.6, , , ,
M003,E003,2009,34.5, , , ,
M003,E004,2009,14.6, , , ,
M003,E005,2009,35.9, , , ,
M003,E006,2009,0.1, , , ,
M003,E007,2009,50.6, , , ,
M003,E008,2009,10.8, , , ,
M003,E009,2009,3.9, , , ,
M003,E010,2009,0.2, , , ,
M003,E011,2009,100, , , ,
M004,E001,2009,7.3,10,-2.7,17.2,
M004,E002,2009,-29.9,25.3,-55.2,-4.6,
M004,E003,2009,6.3,9.8,-3.4,16.1,
M004,E004,2009,6.9,24.5,-17.6,31.3,
M004,E005,2009,-7.2,12.5,-19.7,5.4,
M004,E006,2009,-37.8,43.9,-81.6,6.1,
M004,E007,2009,-3.6,13.4,-17,9.9,
M004,E008,2009,5.8,6.6,-0.9,12.4,
M004,E009,2009,-2.5,8.2,-10.7,5.7,
M004,E010,2009,22.7,58,-35.3,80.6,
M004,E011,2009,0.7,7.3,-6.6,8,
M001,E001,2010,83.8,7.4,77.6,90,
M001,E002,2010,1.3,24.3,1,1.6,
M001,E003,2010,85.1,7.4,78.8,91.4,
M001,E004,2010,35.8,12.5,31.3,40.2,
M001,E005,2010,70.5,10.8,62.9,78.1,
M001,E006,2010,0.2,35.2,0.1,0.2,
M001,E007,2010,106.4,10.6,95.1,117.8,
M001,E008,2010,25,3.9,24,26,
M001,E009,2010,9.8,6.9,9.1,10.5,
M001,E010,2010,0.7,71.6,0.2,1.1,
M001,E011,2010,227,4.9,215.9,238.1,
M002,E001,2010,33.6, , , ,
M002,E002,2010,9.9, , , ,
M002,E003,2010,35.3, , , ,
M002,E004,2010,26.2, , , ,
M002,E005,2010,30.3, , , ,
M002,E006,2010,4.1, , , ,
M002,E007,2010,30.4, , , ,
M002,E008,2010,68, , , ,
M002,E009,2010,60.2, , , ,
M002,E010,2010,1.5, , , ,
M002,E011,2010,96.6, , , ,
M003,E001,2010,36.9, , , ,
M003,E002,2010,0.6, , , ,
M003,E003,2010,37.5, , , ,
M003,E004,2010,15.8, , , ,
M003,E005,2010,31.1, , , ,
M003,E006,2010,0.1, , , ,
M003,E007,2010,46.9, , , ,
M003,E008,2010,11, , , ,
